collage_name,city,state,level,colllage_type,basic,student_count,awards_per_100_value,awards_per_state_value,spent_award_value,spent_award_state_value,exp_award_percentile,fulltime_student_per,fulltime_student,med_sat_value,med_sat_percentile,aid_value,aid_percentile,endow_value,endow_percentile,on_time_graduate,on_time_graduate_percentile,late_graduate,late_graduate_percentile,pell_value,pell_percentile,retain_value,retain_percentile,ft_fac_value,ft_fac_percentile,vsa_year,vsa_grad_after4_first,vsa_grad_elsewhere_after4_first,vsa_enroll_after4_first,vsa_enroll_elsewhere_after4_first,vsa_grad_after6_first,vsa_grad_elsewhere_after6_first,vsa_enroll_after6_first,vsa_enroll_elsewhere_after6_first,vsa_grad_after4_transfer,vsa_grad_elsewhere_after4_transfer,vsa_enroll_after4_transfer,vsa_enroll_elsewhere_after4_transfer,vsa_grad_after6_transfer,vsa_grad_elsewhere_after6_transfer,vsa_enroll_after6_transfer,vsa_enroll_elsewhere_after6_transfer,state_sector_ct,percentage
State University of New York Canton-College of Technology,Canton,New York,4-year,Public,Baccalaureate/Associates Colleges,3512,28.2,22.6,57283,71334,49,83.7,3411,,,6629,62,2677,36,23.4,54,28.6,13,55.9,89,75.6,56,57.5,40,,,,,,,,,,,,,,,,,,39,62.1
State University of New York College of Technology at Delhi,Delhi,New York,4-year,Public,Baccalaureate/Associates Colleges,3308,29,22.6,51733,71334,35,78.3,2911,,,6160,52,1295,15,27.5,64,45,47,48.4,80,68.7,33,58.4,42,,,,,,,,,,,,,,,,,,39,84.6
State University of New York College of Agriculture and Technology at Cobleskill,Cobleskill,New York,4-year,Public,Baccalaureate/Associates Colleges,2453,25.3,22.6,70427,71334,69,92.4,2455,975,29,6259,56,1523,18,28.7,66,43.8,44,48.4,80,74,50,51.8,31,,,,,,,,,,,,,,,,,,39,76.1
Farmingdale State College,Farmingdale,New York,4-year,Public,Baccalaureate Colleges--Diverse Fields,8162,22.5,22.6,68087,71334,66,74.4,6956,969,26,5173,29,771,8,21.3,48,42.6,40,27.1,19,82.3,76,31.1,6,,,,,,,,,,,,,,,,,,39,49.4
State University of New York College of Agriculture and Technology at Morrisville,Morrisville,New York,4-year,Public,Baccalaureate/Associates Colleges,3028,22.2,22.6,83606,71334,82,88.1,2823,930,13,6483,60,479,6,20.8,46,25,9,58.7,92,66.7,25,60.1,44,,,,,,,,,,,,,,,,,,39,73
State University of New York at Albany,Albany,New York,4-year,Public,Research Universities--very high research activity,12822,24.5,22.6,83642,71334,82,94,12474,1102,75,6847,67,2600,34,55.6,93,66.4,84,37.5,46,81.5,73,55.6,37,,,,,,,,,,,,,,,,,,39,61.2
Binghamton University,Vestal,New York,4-year,Public,Research Universities--high research activity,12997,23.6,22.6,71768,71334,71,96.6,13102,1297,98,6460,59,4893,57,68.7,99,80.8,95,26.9,18,90.7,94,69.6,64,2010,66.5,5,16,8.9,78.4,9.7,1.5,4.9,75.6,4.9,4.1,5.9,78.6,7.5,0.4,2.7,39,69.1
University at Buffalo,Buffalo,New York,4-year,Public,Research Universities--very high research activity,19831,21.8,22.6,91931,71334,86,91.2,20722,1158,86,7033,70,19863,90,51.6,91,72,91,28.4,21,87.6,89,67.4,58,,,,,,,,,,,,,,,,,,39,63.6
State University of New York at Stony Brook,Stony Brook,New York,4-year,Public,Research Universities--very high research activity,15992,22.7,22.6,110471,71334,93,93.1,16568,1253,95,6658,63,6730,67,45.1,87,65.9,83,35.1,39,90.1,93,69,62,,,,,,,,,,,,,,,,,,39,64.5
State University of New York College of Environmental Science and Forestry,Syracuse,New York,4-year,Public,Doctoral/Research Universities,1702,24.2,22.6,104139,71334,90,96.8,1678,1155,85,5465,36,10676,79,50.8,91,71.2,91,26.8,18,85.7,84,74.8,75,,,,,,,,,,,,,,,,,,39,55.7
State University of New York Institute of Technology at Utica-Rome,Utica,New York,4-year,Public,Masters Colleges and Universities--medium programs,1804,26.5,22.6,62493,71334,58,79,1501,1053,62,5353,35,1367,16,32,71,47.8,53,38.5,50,83.8,80,41.7,17,,,,,,,,,,,,,,,,,,39,23.7
"State University of New York, The College at Brockport",Brockport,New York,4-year,Public,Masters Colleges and Universities--larger programs,7090,25.7,22.6,61565,71334,57,90.4,6765,1069,65,5489,37,1042,12,48,89,66.8,85,40.8,59,80.8,72,56.9,39,,,,,,,,,,,,,,,,,,39,53.4
Buffalo State College,Buffalo,New York,4-year,Public,Masters Colleges and Universities--larger programs,9355,20.4,22.6,61271,71334,56,88.6,9281,975,29,5989,47,2738,36,25.1,59,48.9,56,45.9,73,75.3,55,49.4,26,2010,22.3,5.3,35.1,19.2,47.4,12.9,4.8,9.2,58.4,5.4,7.9,5.8,62.9,7.1,1.2,4.3,39,54.2
State University of New York College at Cortland,Cortland,New York,4-year,Public,Masters Colleges and Universities--larger programs,6400,23,22.6,55452,71334,45,98.1,6421,1058,62,5172,29,3788,46,46.7,88,69.5,88,26.9,18,82.9,78,50.5,29,,,,,,,,,,,,,,,,,,39,65.8
