collage_name,city,state,level,colllage_type,basic,student_count,awards_per_100_value,awards_per_state_value,spent_award_value,spent_award_state_value,exp_award_percentile,fulltime_student_per,fulltime_student,med_sat_value,med_sat_percentile,aid_value,aid_percentile,endow_value,endow_percentile,on_time_graduate,on_time_graduate_percentile,late_graduate,late_graduate_percentile,pell_value,pell_percentile,retain_value,retain_percentile,ft_fac_value,ft_fac_percentile,vsa_year,vsa_grad_after4_first,vsa_grad_elsewhere_after4_first,vsa_enroll_after4_first,vsa_enroll_elsewhere_after4_first,vsa_grad_after6_first,vsa_grad_elsewhere_after6_first,vsa_enroll_after6_first,vsa_enroll_elsewhere_after6_first,vsa_grad_after4_transfer,vsa_grad_elsewhere_after4_transfer,vsa_enroll_after4_transfer,vsa_enroll_elsewhere_after4_transfer,vsa_grad_after6_transfer,vsa_grad_elsewhere_after6_transfer,vsa_enroll_after6_transfer,vsa_enroll_elsewhere_after6_transfer,state_sector_ct,percentage
Alabama A&M University,Normal,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,4051,14.2,18.8,105331,75743,90,93.8,3906,823,0,7142,72,,,10,15,29.1,14,71.2,98,63.1,17,82.8,89,2010,14.7,2,36.5,16.1,33,5.3,12.5,14.6,15.7,1.5,40.9,17.2,36.4,5.6,17.2,11.1,13,99.7
University of Alabama at Birmingham,Birmingham,Alabama,4-year,Public,Research Universities--very high research activity,11502,20.9,18.8,136546,75743,97,72.7,10032,1146,84,6088,50,24136,93,29.4,67,53.5,66,35.1,39,80.2,70,92.4,98,2011,22.3,2.9,34.2,19.2,42.6,10.5,7.9,13.1,,,,,,,,,13,56
Amridge University,Montgomery,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,322,29.9,17.8,58414,92268,30,62.7,294,,,2540,1,302,1,0,0,66.7,72,68.4,91,37.5,2,67.2,71,,,,,,,,,,,,,,,,,,16,100
University of Alabama at Huntsville,Huntsville,Alabama,4-year,Public,Research Universities--very high research activity,5696,20.9,18.8,64418,75743,61,74.4,5000,1180,89,6647,63,11502,81,16.5,34,48.4,54,32.8,32,81,72,65.5,56,2010,12.8,4.7,42.8,18.3,43,14.5,10.2,11.7,0,0,0,0,0,0,0,0,13,43.1
Alabama State University,Montgomery,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,5356,11.6,18.8,132407,75743,96,91,5035,830,1,7256,74,13202,84,8.8,11,25.2,9,82.7,100,62.2,15,67,58,,,,,,,,,,,,,,,,,,13,88
University of Alabama at Tuscaloosa,Tuscaloosa,Alabama,4-year,Public,Research Universities--high research activity,29440,18.3,18.8,75350,75743,75,90.2,27148,1171,88,10390,94,19469,90,42.7,86,66.7,85,21.1,7,87,87,69.5,64,2008,4.1,1.3,67.8,13.2,60.6,8,9.9,8,45.8,5.2,23,7.9,61.5,8.5,6.3,5.5,13,75.9
Central Alabama Community College,Alexander City,Alabama,2-year,Public,Associates--Public Rural-serving Medium,1906,15.9,15.9,57572,42194,83,50,1489,,,5057,82,229,22,7.7,39,9.1,8,65.1,93,42.7,5,38.3,66,,,,,,,,,,,,,,,,,,25,66.7
Auburn University at Montgomery,Montgomery,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,4322,15.4,18.8,58541,75743,51,69.4,3571,970,26,4327,10,10736,79,9.9,15,27.1,12,40.1,56,63.2,17,60.1,44,,,,,,,,,,,,,,,,,,13,43.8
Auburn University,Auburn University,Alabama,4-year,Public,Research Universities--high research activity,19799,21.5,18.8,71999,75743,71,91,19635,1215,93,8875,88,22092,92,37.6,80,67.9,87,16.9,3,89.5,92,88.7,96,2010,35.5,3.1,39.7,12.1,66.4,9.6,5,7.6,64.2,6.3,11.6,7.6,72.2,9.7,2,4.6,13,75.5
Birmingham-Southern College,Birmingham,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,1188,23.5,17.8,113677,92268,75,98.2,1331,1177,81,20385,80,37598,70,53.2,67,61.9,64,21.4,16,80.4,65,71.7,76,,,,,,,,,,,,,,,,,,16,88.9
Chattahoochee Valley Community College,Phenix City,Alabama,2-year,Public,Associates--Public Rural-serving Medium,1837,13.6,15.9,60303,42194,85,57.3,1431,,,4316,62,36,5,7.2,37,13.4,23,61.2,89,51.6,23,26.7,31,,,,,,,,,,,,,,,,,,25,40.2
Concordia College (Ala.),Selma,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,600,12.3,17.8,105461,92268,72,90.5,515,,,4746,8,,,9.8,4,13.9,2,83.6,97,41,2,61.8,63,,,,,,,,,,,,,,,,,,16,74.5
South University at Montgomery,Montgomery,Alabama,4-year,Private for-profit,Baccalaureate/Associates Colleges,599,15,29.1,76191,17406,81,51.9,577,,,4920,70,,,5.3,10,5.3,1,71.3,59,19.4,1,14.6,40,,,,,,,,,,,,,,,,,,9,23
Enterprise State Community College,Enterprise,Alabama,2-year,Public,Associates--Public Rural-serving Medium,2333,17.4,15.9,45911,42194,65,56.5,2101,,,4936,80,428,37,8.3,44,12.9,21,51.2,74,54.1,33,41.6,71,,,,,,,,,,,,,,,,,,25,43.6
Faulkner State Community College,Bay Minette,Alabama,2-year,Public,Associates--Public Suburban-serving Multicampus,4362,11.8,15.9,55426,42194,80,59,3703,,,4817,76,,,9.5,50,10,10,48.9,68,52.1,25,38.1,65,,,,,,,,,,,,,,,,,,25,54.6
Faulkner University,Montgomery,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,2617,21.5,17.8,52010,92268,23,68.9,2658,,,6697,15,5494,18,10.6,5,22.9,6,58.2,85,50,6,42.4,36,,,,,,,,,,,,,,,,,,16,49.3
Gadsden State Community College,Gadsden,Alabama,2-year,Public,Associates--Public Rural-serving Large,5797,14.5,15.9,54629,42194,79,54.9,4650,,,4849,77,649,46,7.4,38,14.4,27,60,88,55.9,42,46.3,79,,,,,,,,,,,,,,,,,,25,59.4
George C. Wallace Community College at Dothan,Dothan,Alabama,2-year,Public,Associates--Public Rural-serving Medium,4686,17.1,15.9,30885,42194,30,49,3611,,,4941,80,33,4,2.3,5,14.9,28,55.5,81,56,42,59.8,93,,,,,,,,,,,,,,,,,,25,53.7
Wallace State Community College at Hanceville,Hanceville,Alabama,2-year,Public,Associates--Public Rural-serving Medium,5281,18.8,15.9,42870,42194,58,55.9,4486,,,4815,76,,,11.9,61,19.5,47,50.2,70,63.7,77,33.4,52,,,,,,,,,,,,,,,,,,25,49.5
Wallace Community College at Selma,Selma,Alabama,2-year,Public,Associates--Public Rural-serving Medium,1745,23.8,15.9,43923,42194,61,61.2,1574,,,4952,80,,,10.6,55,24.8,66,76.9,98,53.1,29,48.2,82,,,,,,,,,,,,,,,,,,25,51.4
Herzing University at Bimingham,Birmingham,Alabama,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields,320,50,29.1,24343,17406,13,50,338,,,3781,19,,,0,0,22.2,41,63.7,37,50,38,30.8,75,,,,,,,,,,,,,,,,,,9,60.6
Huntingdon College,Montgomery,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,1110,22.2,17.8,76919,92268,49,81.3,1078,999,28,11447,36,41486,73,30.4,30,43.2,27,43,62,62,18,36.6,28,,,,,,,,,,,,,,,,,,16,72
J.F. Drake State Technical College,Huntsville,Alabama,2-year,Public,Associates--Public Rural-serving Small,1383,19.3,15.9,86504,42194,96,45.9,921,,,3385,27,,,15.4,72,15.4,30,58.7,86,42.3,5,37,62,,,,,,,,,,,,,,,,,,25,26.5
Jacksonville State University,Jacksonville,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,7588,18.1,18.8,51692,75743,34,76.2,6856,1036,57,6289,57,1488,18,10.1,16,30.8,18,46.1,74,71.1,40,65.2,55,2010,8.5,2.6,42.1,16.4,32,9.5,11.3,13.8,46.4,4.3,16.1,8.9,54.2,7.1,6.7,7.6,13,63.2
Jefferson Davis Community College,Brewton,Alabama,2-year,Public,Associates--Public Rural-serving Small,1091,20.1,15.9,40726,42194,54,56.6,935,,,4363,64,344,33,13.6,68,29.5,80,52.8,77,51.8,24,48.6,83,,,,,,,,,,,,,,,,,,25,50.8
Jefferson State Community College,Birmingham,Alabama,2-year,Public,Associates--Public Urban-serving Multicampus,8542,15.8,15.9,32495,42194,34,33.8,6041,,,3989,52,196,20,1.8,3,6.5,2,35.8,35,52.4,26,32.1,48,,,,,,,,,,,,,,,,,,25,33.6
Calhoun Community College,Tanner,Alabama,2-year,Public,Associates--Public Rural-serving Large,11186,12.8,15.9,32165,42194,34,38,7911,,,4589,70,,,6.2,32,13.3,22,40.3,46,57.5,49,30,42,,,,,,,,,,,,,,,,,,25,40.9
Judson College (Ala.),Marion,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,347,14.5,17.8,112204,92268,75,75.5,343,1023,37,19910,78,44004,75,38,42,40.5,23,47.9,72,59.7,14,45.9,41,,,,,,,,,,,,,,,,,,16,78.2
Lawson State Community College,Birmingham,Alabama,2-year,Public,Associates--Public Urban-serving Multicampus,3028,13.5,15.9,47256,42194,67,59,2695,,,4127,57,,,18.4,81,18.5,43,68.2,95,52.5,27,39.2,68,,,,,,,,,,,,,,,,,,25,53.6
University of West Alabama,Livingston,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,1999,15.3,18.8,40841,75743,15,84.8,1744,950,19,4474,13,97,2,17.9,38,29.8,15,56,89,57.8,8,50.8,30,,,,,,,,,,,,,,,,,,13,58.6
Lurleen B. Wallace Community College,Andalusia,Alabama,2-year,Public,Associates--Public Rural-serving Small,1570,20.9,15.9,35010,42194,40,61.9,1338,,,4822,76,,,13.2,66,20.6,52,57.5,85,57,47,54.8,90,,,,,,,,,,,,,,,,,,25,52.7
Marion Military Institute,Marion,Alabama,2-year,Public,Associates--Public Rural-serving Small,418,26.1,15.9,123613,42194,98,98.3,422,1040,100,9624,100,6554,97,23.1,88,24.9,67,44.2,56,38.1,2,75,96,,,,,,,,,,,,,,,,,,25,81.7
Miles College,Fairfield,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,1666,12,17.8,115329,92268,76,94.7,1681,,,6699,15,10086,34,6,2,21.6,5,82.3,97,54.8,10,77.7,81,,,,,,,,,,,,,,,,,,16,98.1
University of Mobile,Mobile,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,1481,21.7,17.8,51098,92268,21,84.9,1341,1058,51,8727,23,14086,43,32.9,34,49.3,39,50.3,77,77.3,56,58.2,58,,,,,,,,,,,,,,,,,,16,63.4
University of Montevallo,Montevallo,Alabama,4-year,Public,Masters Colleges and Universities--medium programs,2618,15.9,18.8,88163,75743,84,89.8,2455,1070,65,7109,72,5870,62,23.8,55,44.9,46,41.4,61,73.7,49,57.6,41,,,,,,,,,,,,,,,,,,13,98.2
Northwest-Shoals Community College,Muscle Shoals,Alabama,2-year,Public,Associates--Public Rural-serving Medium,3854,16.3,15.9,33524,42194,37,47.7,2702,,,3729,40,278,27,2.2,5,12.7,20,52.3,77,52.6,28,50.3,85,,,,,,,,,,,,,,,,,,25,51.5
University of North Alabama,Florence,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,5881,17.4,18.8,48127,75743,27,81.5,5292,1028,50,4620,15,4290,51,12.3,20,32.2,20,41.9,64,70.8,40,68.9,62,,,,,,,,,,,,,,,,,,13,59.6
Northeast Alabama Community College,Rainsville,Alabama,2-year,Public,Associates--Public Rural-serving Medium,2834,23.7,15.9,18843,42194,8,51.2,2409,,,4890,79,33,4,9.5,50,24,63,62.8,91,61.4,67,36,60,,,,,,,,,,,,,,,,,,25,54.6
Oakwood University,Huntsville,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,1861,16.9,17.8,86114,92268,57,95.2,1777,924,9,6868,16,5665,19,18.8,12,36.8,16,50.7,78,78.8,60,76.9,80,,,,,,,,,,,,,,,,,,16,80.2
Alabama Southern Community College,Monroeville,Alabama,2-year,Public,Associates--Public Rural-serving Small,1349,19.5,15.9,52935,42194,77,65.7,1124,,,4750,75,,,17.1,77,23.4,61,56,82,56.7,46,36.8,62,,,,,,,,,,,,,,,,,,25,63.1
Prince Institute-Southeast,Montgomery,Alabama,2-year,Private for-profit,Associates--Private For-profit,102,9,3.2,50052,24274,88,100,133,,,4221,45,,,15.8,17,25.4,6,64.5,37,83.3,88,80,89,,,,,,,,,,,,,,,,,,5,19
Reid State Technical College,Evergreen,Alabama,2-year,Public,Associates--Public Rural-serving Small,517,25,15.9,36428,42194,43,50.3,673,,,4162,57,,,19,82,34.3,89,70.1,96,48.8,14,66.7,95,,,,,,,,,,,,,,,,,,25,35.9
Bishop State Community College,Mobile,Alabama,2-year,Public,Associates--Public Urban-serving Multicampus,3896,11.3,15.9,80555,42194,95,55.7,2822,,,4061,54,53,6,7.2,37,11,13,63.5,92,41.2,4,53.8,89,,,,,,,,,,,,,,,,,,25,36.8
Samford University,Birmingham,Alabama,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,3013,19.9,17.8,85883,92268,57,94.6,3100,1153,77,13261,47,60561,82,48.9,60,69.2,76,14.9,6,86.7,80,63.7,65,,,,,,,,,,,,,,,,,,16,84.4
Selma University,Selma,Alabama,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,582,5.2,17.8,64000,92268,35,78.2,433,,,2379,1,,,2,0,11.3,2,75,93,42,2,81,84,,,,,,,,,,,,,,,,,,16,
Shelton State Community College,Tuscaloosa,Alabama,2-year,Public,Associates--Public Rural-serving Large,5068,10.7,15.9,73406,42194,92,48.7,4106,,,3626,35,,,4.3,18,8.2,5,52.2,76,58.5,54,41.4,70,,,,,,,,,,,,,,,,,,25,51.9
Snead State Community College,Boaz,Alabama,2-year,Public,Associates--Public Rural-serving Medium,2295,20.7,15.9,30913,42194,30,67.1,2023,,,5164,83,1269,63,7,36,32.2,85,57.4,84,59.4,58,29.9,41,,,,,,,,,,,,,,,,,,25,62
University of South Alabama,Mobile,Alabama,4-year,Public,Research Universities--high research activity,11307,17.3,18.8,80461,75743,80,77.5,10289,1064,64,6250,55,11350,81,14.1,26,33.2,21,37.4,46,67.9,30,68.6,61,2011,17.2,3.2,37.4,15.2,37.8,8.1,11.1,11.3,35.9,6.4,16.2,11.5,44,9.9,4.8,9.5,13,46.3
Spring Hill College,Mobile,Alabama,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs,1292,18.5,17.8,108024,92268,73,93.3,1225,1100,65,18715,74,15871,47,47.1,58,56.3,52,33.3,40,75.6,51,56.2,55,,,,,,,,,,,,,,,,,,16,86.5
Southeastern Bible College,Birmingham,Alabama,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,161,18.7,17.8,94892,92268,65,80.7,149,970,20,5457,11,10059,34,8,3,24,6,60.9,87,64.3,22,35,25,,,,,,,,,,,,,,,,,,16,37.8
Stillman College,Tuscaloosa,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,863,11.8,17.8,128277,92268,82,93.6,940,882,5,7526,18,19434,53,16.9,10,26.2,7,74.3,93,61.2,17,87.9,89,,,,,,,,,,,,,,,,,,16,72.6
Talladega College,Talladega,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,932,13.1,17.8,163659,92268,89,91.1,542,,,16234,64,6100,21,82.4,94,82.4,91,96.6,100,32.9,1,81.1,84,,,,,,,,,,,,,,,,,,16,87.4
Trenholm State Technical College,Montgomery,Alabama,2-year,Public,Associates--Public Rural-serving Small,1351,17.7,15.9,39149,42194,50,52.6,1275,,,3409,28,,,19.8,84,32.7,86,61,89,49.8,18,64.4,94,,,,,,,,,,,,,,,,,,25,38.5
Troy University,Troy,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,16316,21.4,18.8,38447,75743,13,56,13261,,,5321,34,33,1,13.3,23,35.5,24,47.6,78,73.9,50,37.4,12,,,,,,,,,,,,,,,,,,13,32.8
Tuskegee University,Tuskegee,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,2584,13.9,17.8,177188,92268,91,95.5,2606,937,12,4792,8,37366,70,16.7,9,43.8,28,64.5,89,72.4,42,100,95,,,,,,,,,,,,,,,,,,16,31.5
Bevill State Community College,Jasper,Alabama,2-year,Public,Associates--Public Rural-serving Medium,3490,16.6,15.9,44867,42194,63,51.8,2970,,,4296,62,50,6,6.3,32,13.9,25,58.4,86,58.1,51,34.6,56,,,,,,,,,,,,,,,,,,25,57.5
University of Alaska at Anchorage,Anchorage,Alaska,4-year,Public,Masters Colleges and Universities--larger programs,16380,16.1,16.3,88284,103823,84,46.9,11469,,,4830,22,4018,49,8.7,11,27.8,12,24.7,13,70.6,39,47.4,22,,,,,,,,,,,,,,,,,,3,54.7
University of Alaska at Fairbanks,Fairbanks,Alaska,4-year,Public,Research Universities--high research activity,7989,16.6,16.3,147044,103823,98,45.7,5545,,,5315,34,12346,83,14.1,26,37.3,28,23.5,11,76.9,60,69.4,64,2010,7.7,3.2,34,9.8,24.8,8.5,10.3,7.2,24.7,6,15.9,9.5,32.9,10.6,4.9,7.4,3,67.8
University of Alaska-Southeast,Juneau,Alaska,4-year,Public,Masters Colleges and Universities--smaller programs,2645,16.2,16.3,70131,103823,69,31,1544,,,4688,18,2108,27,4.1,2,12.2,1,18.3,4,71.6,42,47.5,23,,,,,,,,,,,,,,,,,,3,15.1
Alaska Pacific University,Anchorage,Alaska,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs,387,22.9,22.9,97275,97275,66,63.3,342,1008,31,7508,18,192792,93,25,20,40,22,27.9,29,66.7,26,37.6,29,,,,,,,,,,,,,,,,,,1,21.8
Charter College,Anchorage,Alaska,4-year,Private for-profit,Baccalaureate/Associates Colleges,2191,34.2,34.2,30416,30416,21,100,2983,,,3310,7,,,21.9,54,21.9,40,66,41,43.3,28,21.2,57,,,,,,,,,,,,,,,,,,1,23.2
Prince William Sound Community College,Valdez,Alaska,2-year,Public,Associates--Public Rural-serving Medium,471,5.1,9.1,432087,160134,100,11.7,263,,,2930,15,220,22,15.4,72,19.2,46,20.9,6,40,3,22.2,17,,,,,,,,,,,,,,,,,,2,16.6
Everest College,Phoenix,Arizona,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates,2761,27,32.8,48603,25661,57,53.9,2008,,,4689,62,,,15.3,38,23.7,44,82.6,91,,,14.1,37,,,,,,,,,,,,,,,,,,23,62.4
Carrington College at Phoenix,Phoenix,Arizona,4-year,Private for-profit,Associates--Private For-profit,676,73.6,32.8,25833,25661,14,100,573,,,3736,16,,,,,,,72.6,63,,,53.6,91,,,,,,,,,,,,,,,,,,23,
Carrington College-Mesa,Mesa,Arizona,2-year,Private for-profit,Not applicable- not in Carnegie universe,691,60.4,36.8,38369,21312,79,90.3,767,,,4077,37,,,10.6,11,68.4,70,73,58,71.8,62,24,22,,,,,,,,,,,,,,,,,,12,
Carrington College-Tucson,Tucson,Arizona,2-year,Private for-profit,Not applicable- not in Carnegie universe,440,76.4,36.8,23947,21312,53,99.3,379,,,3556,16,,,4,2,63,56,65.1,39,72.7,65,42.1,54,,,,,,,,,,,,,,,,,,12,
CollegeAmerica at Flagstaff,Flagstaff,Arizona,4-year,Private not-for-profit,Associates--Private For-profit,209,24.8,21.7,44486,35493,14,100,401,,,3651,4,,,,,,,84.3,97,65.2,23,64.3,66,,,,,,,,,,,,,,,,,,4,
International Institute of the Americas at Glendale,Phoenix,Arizona,4-year,Private for-profit,Baccalaureate/Associates Colleges,828,18.4,32.8,71648,25661,77,100,736,,,4191,41,,,37.5,82,42.9,81,66.1,42,44.7,32,14.8,40,,,,,,,,,,,,,,,,,,23,
Arizona State University at Tempe,Tempe,Arizona,4-year,Public,Research Universities--very high research activity,38730,23.7,22,79866,75690,79,90.3,38789,1145,83,8503,86,8058,72,37.7,80,59.5,76,33.8,35,84.4,82,87.6,95,,,,,,,,,,,,,,,,,,4,59.4
Arizona Western College,Yuma,Arizona,2-year,Public,Associates--Public Rural-serving Large,8000,20.7,20.4,28732,25969,24,35,5538,,,5138,83,309,31,10.2,53,17.5,39,58,85,62.5,72,31.1,46,,,,,,,,,,,,,,,,,,20,38.5
University of Arizona,Tucson,Arizona,4-year,Public,Research Universities--very high research activity,31670,21.3,22,86900,75690,84,89.7,30837,1106,77,10381,94,15972,87,39.9,82,61.4,79,32.7,32,81.5,73,76.4,77,,,,,,,,,,,,,,,,,,4,73.5
Art Center Design College (Ariz.),Tucson,Arizona,4-year,Private for-profit,Schools of art- music- and design,216,12.7,32.8,113274,25661,93,58.3,277,,,2616,2,,,10,23,33.3,65,53.1,17,84.6,88,56.5,92,,,,,,,,,,,,,,,,,,23,46.8
Central Arizona College,Coolidge,Arizona,2-year,Public,Associates--Public Suburban-serving Multicampus,6445,20.2,20.4,49921,25969,73,33,4893,,,3603,34,847,53,18.3,81,18.3,42,46.4,62,49.3,16,21.4,15,,,,,,,,,,,,,,,,,,20,19.5
Brown Mackie College - Tucson,Tucson,Arizona,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields,684,27,32.8,48057,25661,56,100,685,,,4235,44,,,20,48,20,34,83.5,93,0,0,6.7,9,,,,,,,,,,,,,,,,,,23,69.3
Cochise College,Douglas,Arizona,2-year,Public,Associates--Public Rural-serving Large,4453,22.5,20.4,11180,25969,1,37,7909,,,4089,55,665,47,10.2,53,18.3,42,30.8,22,56,42,24.9,25,,,,,,,,,,,,,,,,,,20,30.5
Eastern Arizona College,Thatcher,Arizona,2-year,Public,Associates--Public Rural-serving Large,6602,17.3,20.4,26448,25969,19,29.6,3810,,,4717,74,,,13.6,68,22.1,56,19.8,6,54.1,33,25.7,28,,,,,,,,,,,,,,,,,,20,43.5
Embry-Riddle Aeronautical University at Prescott,Prescott,Arizona,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,1879,20.6,21.7,0,35493,0,93.3,1674,1171,80,10781,33,11293,37,36.8,40,59.1,58,28.8,31,82.8,72,70.2,73,,,,,,,,,,,,,,,,,,4,77.9
Glendale Community College (Ariz.),Glendale,Arizona,2-year,Public,Associates--Public Urban-serving Multicampus,20872,21,20.4,26032,25969,19,34.6,12558,,,3411,28,,,5.5,28,12.2,17,38.1,41,59.5,59,31.4,47,,,,,,,,,,,,,,,,,,20,32.8
Grand Canyon University,Phoenix,Arizona,4-year,Private for-profit,Masters Colleges and Universities--larger programs,35205,17.7,32.8,34866,25661,32,22.7,27695,,,7117,95,,,24.1,59,30.4,60,52.6,16,58.8,57,11,27,,,,,,,,,,,,,,,,,,23,8.9
Anthem College at Phoenix,Phoenix,Arizona,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates,2238,15.2,32.8,34973,25661,33,100,3081,,,4745,65,,,32.4,74,70.6,94,77.9,81,87.5,89,49.4,90,,,,,,,,,,,,,,,,,,23,
Kaplan College (Phoenix),Phoenix,Arizona,2-year,Private for-profit,Associates--Private For-profit,93,24.1,36.8,26096,21312,58,100,523,,,3676,19,,,0,0,62.8,55,51.5,21,77.8,76,22.2,19,,,,,,,,,,,,,,,,,,12,
Gateway Community College,Phoenix,Arizona,2-year,Public,Associates--Public Urban-serving Multicampus,6440,23.8,20.4,27255,25969,21,20.9,3415,,,2822,13,,,7.5,39,13.3,22,33.7,30,55.3,39,28,35,,,,,,,,,,,,,,,,,,20,11.8
Mesa Community College,Mesa,Arizona,2-year,Public,Associates--Public Urban-serving Multicampus,23678,22.6,20.4,25949,25969,18,31.9,14734,,,3225,22,,,5.3,26,12.5,18,37.3,39,56.3,44,29.1,39,,,,,,,,,,,,,,,,,,20,31.6
ITT Technical Institute at Tucson,Tucson,Arizona,4-year,Private for-profit,Other technology-related schools,409,35.9,32.8,31167,25661,22,74.6,468,,,4364,50,,,25,60,25,48,73,65,,,11.1,28,,,,,,,,,,,,,,,,,,23,64.3
ITT Technical Institute at Tempe,Tempe,Arizona,4-year,Private for-profit,Other technology-related schools,498,36.1,32.8,29620,25661,20,78.7,575,,,4519,56,,,0,0,6.2,2,68,47,0,0,11.4,28,,,,,,,,,,,,,,,,,,23,59.6
Mohave Community College,Kingman,Arizona,2-year,Public,Associates--Public Suburban-serving Multicampus,5227,21.1,20.4,28574,25969,24,27.4,3309,,,6417,94,1135,60,18.1,80,18.1,41,47.7,65,52.9,28,20.7,13,,,,,,,,,,,,,,,,,,20,16.2
Dine College,Tsaile,Arizona,4-year,Public,Tribal Colleges,1466,10.2,22,165574,75690,99,62.2,1357,,,4746,19,3400,43,,,,,82.2,100,80,70,100,99,,,,,,,,,,,,,,,,,,4,56.1
Northern Arizona University,Flagstaff,Arizona,4-year,Public,Research Universities--high research activity,22160,20.1,22,49529,75690,29,83.8,21724,1050,59,7224,74,4163,50,30.2,69,49.3,56,37.8,47,71.8,43,61.2,46,2011,30.7,3.8,29.5,19.4,51.5,11.5,4.4,11.5,62.5,4.6,8.6,8,68.2,7.8,2.8,2.9,4,58.8
Northland Pioneer College,Holbrook,Arizona,2-year,Public,Associates--Public Rural-serving Large,3233,8.6,20.4,59951,25969,85,20.8,1964,,,2982,17,6,1,5.4,27,10.7,12,29.4,19,26.4,0,32.2,48,,,,,,,,,,,,,,,,,,20,6.4
Phoenix College,Phoenix,Arizona,2-year,Public,Associates--Public Urban-serving Multicampus,12676,22.7,20.4,28815,25969,24,27,7001,,,3349,26,,,4.8,21,10.8,13,47.3,64,60.3,62,21,14,,,,,,,,,,,,,,,,,,20,16.8
University of Phoenix Phoenix Hokokam Campus,Tempe,Arizona,4-year,Private for-profit,Masters Colleges and Universities--larger programs,3099,23.4,32.8,25979,25661,14,100,2721,,,4529,57,,,0,0,15.9,23,52.4,16,46.1,34,5.6,6,,,,,,,,,,,,,,,,,,23,27.7
Pima Community College,Tucson,Arizona,2-year,Public,Associates--Public Urban-serving Multicampus,30082,22.1,20.4,30402,25969,29,35.8,18794,,,3573,34,240,24,3.3,11,6.8,2,32.7,27,60.7,64,27.3,33,,,,,,,,,,,,,,,,,,20,28.5
Pima Medical Institute at Tucson,Tucson,Arizona,4-year,Private for-profit,Associates--Private For-profit,1726,24.6,32.8,14597,25661,7,100,2357,,,5577,85,,,,,,,49,13,80.6,84,39.4,85,,,,,,,,,,,,,,,,,,23,
Pima Medical Institute at Albuquerque,Albuquerque,New Mexico,2-year,Private for-profit,Associates--Private For-profit,930,23.1,36.7,17582,25926,35,100,1393,,,5501,83,,,26,30,69.5,72,61.8,33,72.9,66,35.4,43,,,,,,,,,,,,,,,,,,2,
Prescott College,Prescott,Arizona,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs,545,26.1,21.7,48453,35493,18,81.5,680,1094,63,11847,38,1166,4,23.2,17,37.7,17,45.5,68,73.4,45,67,71,,,,,,,,,,,,,,,,,,4,33.2
Refrigeration School,Phoenix,Arizona,2-year,Private for-profit,Associates--Private For-profit,621,44.1,36.8,15618,21312,29,100,842,,,4183,43,,,33.3,41,69.1,71,64.5,37,69.4,54,90.5,93,,,,,,,,,,,,,,,,,,12,
Rio Salado College,Tempe,Arizona,2-year,Public,Associates--Public Urban-serving Multicampus,21472,7.4,20.4,13257,25969,2,14.2,15333,,,2470,6,,,15.2,72,17.2,37,25.6,12,19.2,0,2.3,0,,,,,,,,,,,,,,,,,,20,5
Scottsdale Community College,Scottsdale,Arizona,2-year,Public,Associates--Public Urban-serving Single Campus,10313,27.9,20.4,28959,25969,25,30.6,6030,,,3242,23,,,6.7,34,15.1,29,22,7,57.6,49,30.2,43,,,,,,,,,,,,,,,,,,20,27.1
